id,indicator_ticker,record_date,value,is_estimated
1204581,US_10Y,2026-08-25,4.64,f
1204580,US_10Y,2026-08-24,4.7,f
1204579,US_10Y,2026-08-21,4.74,f
1204536,US_10Y,2026-08-20,4.69,f
1204535,US_10Y,2026-08-19,4.65,f
1204534,US_10Y,2026-08-18,4.71,f
1204533,US_10Y,2026-08-17,4.72,f
1204513,US_10Y,2026-08-14,4.68,f
1204448,US_10Y,2026-08-13,4.63,f
1204447,US_10Y,2026-08-12,4.68,f
1204446,US_10Y,2026-08-11,4.7,f
1204445,US_10Y,2026-08-10,4.72,f
1204444,US_10Y,2026-08-07,4.65,f
1204443,US_10Y,2026-08-06,4.69,f
1204442,US_10Y,2026-08-05,4.63,f
1204441,US_10Y,2026-08-04,4.63,f
1204426,US_10Y,2026-08-03,4.7,f
1204402,US_10Y,2026-07-31,4.75,f
1204401,US_10Y,2026-07-30,4.68,f
1204400,US_10Y,2026-07-29,4.67,f
1204399,US_10Y,2026-07-28,4.61,f
1161851,US_10Y,2026-07-27,4.65,f
1161841,US_10Y,2026-07-24,4.69,f
1161794,US_10Y,2026-07-23,4.71,f
1161793,US_10Y,2026-07-22,4.67,f
1161792,US_10Y,2026-07-21,4.63,f
1161791,US_10Y,2026-07-20,4.6,f
1161790,US_10Y,2026-07-17,4.55,f
1086809,US_10Y,2026-07-16,4.57,f
1086808,US_10Y,2026-07-15,4.55,f
1086807,US_10Y,2026-07-14,4.58,f
1001610,US_10Y,2026-07-13,4.62,f
975729,US_10Y,2026-07-10,4.56,f
661912,US_10Y,2026-07-09,4.54,f
661911,US_10Y,2026-07-08,4.56,f
661910,US_10Y,2026-07-07,4.55,f
661909,US_10Y,2026-07-06,4.48,f
661908,US_10Y,2026-07-02,4.49,f
661907,US_10Y,2026-07-01,4.48,f
661906,US_10Y,2026-06-30,4.44,f
661905,US_10Y,2026-06-29,4.38,f
661904,US_10Y,2026-06-26,4.38,f
661903,US_10Y,2026-06-25,4.4,f
661902,US_10Y,2026-06-24,4.41,f
661901,US_10Y,2026-06-23,4.5,f
661900,US_10Y,2026-06-22,4.51,f
661899,US_10Y,2026-06-18,4.46,f
661898,US_10Y,2026-06-17,4.49,f
661897,US_10Y,2026-06-16,4.43,f
661896,US_10Y,2026-06-15,4.47,f
661895,US_10Y,2026-06-12,4.48,f
661894,US_10Y,2026-06-11,4.45,f
661893,US_10Y,2026-06-10,4.55,f
661892,US_10Y,2026-06-09,4.53,f
661891,US_10Y,2026-06-08,4.56,f
661890,US_10Y,2026-06-05,4.55,f
661889,US_10Y,2026-06-04,4.47,f
661888,US_10Y,2026-06-03,4.49,f
661887,US_10Y,2026-06-02,4.46,f
661886,US_10Y,2026-06-01,4.47,f
661885,US_10Y,2026-05-29,4.45,f
661884,US_10Y,2026-05-28,4.45,f
661883,US_10Y,2026-05-27,4.48,f
661882,US_10Y,2026-05-26,4.5,f
661881,US_10Y,2026-05-22,4.56,f
606313,US_10Y,2026-05-21,4.57,f
585822,US_10Y,2026-05-20,4.57,f
585821,US_10Y,2026-05-19,4.67,f
585820,US_10Y,2026-05-18,4.61,f
585819,US_10Y,2026-05-15,4.59,f
585818,US_10Y,2026-05-14,4.47,f
585817,US_10Y,2026-05-13,4.46,f
544813,US_10Y,2026-05-12,4.46,f
544812,US_10Y,2026-05-11,4.42,f
544811,US_10Y,2026-05-08,4.38,f
178160,US_10Y,2026-05-07,4.41,f
178159,US_10Y,2026-05-06,4.36,f
178158,US_10Y,2026-05-05,4.43,f
178157,US_10Y,2026-05-04,4.45,f
54314,US_10Y,2026-05-01,4.39,f
54313,US_10Y,2026-04-30,4.4,f
54312,US_10Y,2026-04-29,4.42,f
10392,US_10Y,2026-04-28,4.36,f
10391,US_10Y,2026-04-27,4.35,f
10390,US_10Y,2026-04-24,4.31,f
10389,US_10Y,2026-04-23,4.34,f
10388,US_10Y,2026-04-22,4.3,f
10387,US_10Y,2026-04-21,4.3,f
10386,US_10Y,2026-04-20,4.26,f
10385,US_10Y,2026-04-17,4.26,f
10384,US_10Y,2026-04-16,4.32,f
10383,US_10Y,2026-04-15,4.29,f
10382,US_10Y,2026-04-14,4.26,f
10381,US_10Y,2026-04-13,4.3,f
10380,US_10Y,2026-04-10,4.31,f
10379,US_10Y,2026-04-09,4.29,f
10378,US_10Y,2026-04-08,4.29,f
10377,US_10Y,2026-04-07,4.33,f
10376,US_10Y,2026-04-06,4.34,f
10375,US_10Y,2026-04-03,4.35,f
10374,US_10Y,2026-04-02,4.31,f
10373,US_10Y,2026-04-01,4.33,f
10372,US_10Y,2026-03-31,4.3,f
10371,US_10Y,2026-03-30,4.35,f
10370,US_10Y,2026-03-27,4.44,f
10369,US_10Y,2026-03-26,4.42,f
10368,US_10Y,2026-03-25,4.33,f
10367,US_10Y,2026-03-24,4.39,f
10366,US_10Y,2026-03-23,4.34,f
10365,US_10Y,2026-03-20,4.39,f
10364,US_10Y,2026-03-19,4.25,f
10363,US_10Y,2026-03-18,4.26,f
10362,US_10Y,2026-03-17,4.2,f
10361,US_10Y,2026-03-16,4.23,f
10360,US_10Y,2026-03-13,4.28,f
10359,US_10Y,2026-03-12,4.27,f
10358,US_10Y,2026-03-11,4.21,f
10357,US_10Y,2026-03-10,4.15,f
10356,US_10Y,2026-03-09,4.12,f
10355,US_10Y,2026-03-06,4.15,f
10354,US_10Y,2026-03-05,4.13,f
10353,US_10Y,2026-03-04,4.09,f
10352,US_10Y,2026-03-03,4.06,f
10351,US_10Y,2026-03-02,4.05,f
10350,US_10Y,2026-02-27,3.97,f
10349,US_10Y,2026-02-26,4.02,f
10348,US_10Y,2026-02-25,4.05,f
10347,US_10Y,2026-02-24,4.04,f
10346,US_10Y,2026-02-23,4.03,f
10345,US_10Y,2026-02-20,4.08,f
10344,US_10Y,2026-02-19,4.08,f
10343,US_10Y,2026-02-18,4.09,f
10342,US_10Y,2026-02-17,4.05,f
10341,US_10Y,2026-02-13,4.04,f
10340,US_10Y,2026-02-12,4.09,f
10339,US_10Y,2026-02-11,4.18,f
10338,US_10Y,2026-02-10,4.16,f
10337,US_10Y,2026-02-09,4.22,f
10336,US_10Y,2026-02-06,4.22,f
10335,US_10Y,2026-02-05,4.21,f
10334,US_10Y,2026-02-04,4.29,f
10333,US_10Y,2026-02-03,4.28,f
10332,US_10Y,2026-02-02,4.29,f
10331,US_10Y,2026-01-30,4.26,f
10330,US_10Y,2026-01-29,4.24,f
10329,US_10Y,2026-01-28,4.26,f
10328,US_10Y,2026-01-27,4.24,f
10327,US_10Y,2026-01-26,4.22,f
10326,US_10Y,2026-01-23,4.24,f
10325,US_10Y,2026-01-22,4.26,f
10324,US_10Y,2026-01-21,4.26,f
10323,US_10Y,2026-01-20,4.3,f
10322,US_10Y,2026-01-16,4.24,f
10321,US_10Y,2026-01-15,4.17,f
10320,US_10Y,2026-01-14,4.15,f
10319,US_10Y,2026-01-13,4.18,f
10318,US_10Y,2026-01-12,4.19,f
10317,US_10Y,2026-01-09,4.18,f
10316,US_10Y,2026-01-08,4.19,f
10315,US_10Y,2026-01-07,4.15,f
10314,US_10Y,2026-01-06,4.18,f
10313,US_10Y,2026-01-05,4.17,f
10312,US_10Y,2026-01-02,4.19,f
10311,US_10Y,2025-12-31,4.18,f
10310,US_10Y,2025-12-30,4.14,f
10309,US_10Y,2025-12-29,4.12,f
10308,US_10Y,2025-12-26,4.14,f
