ticker,category,label,n_months,annualized_return,annualized_std,sharpe_ratio
EWP,Developed Market Country,Spain,20,0.41444793316483586,0.10464518280026744,3.9605065620256785
EWI,Developed Market Country,Italy,20,0.32762719608326873,0.11582676758190574,2.8285965577999095
EWU,Developed Market Country,UK,20,0.21323256999180473,0.09742686383531178,2.1886424503230275
EWC,Developed Market Country,Canada,20,0.2389643287498494,0.11001892770539606,2.1720292474558356
ACWX,World Broad Index,MSCI ACWI ex-US,20,0.23136259794529246,0.11379148975847236,2.0332152996359407
VEU,World Broad Index,Vanguard FTSE All-World ex-US,20,0.22979266849504076,0.11472686259103701,2.002954350056403
VXUS,World Broad Index,Vanguard Total International Stock,20,0.2289515028626282,0.11457186643168933,1.9983221884504685
EWK,Developed Market Country,Belgium,20,0.23642799158894867,0.12090963209867145,1.9554107268807621
FAN,World Thematic,Wind Energy,20,0.27803913932079405,0.1613174443139254,1.7235528401982805
PICK,World Thematic,Global Metals & Mining,20,0.4028711908444492,0.23522593074305648,1.7126988915372434
GNR,World Thematic,Global Natural Resources,20,0.2699793366457748,0.15865947137015848,1.7016276073169492
IXG,Global Sector,Global Financials,20,0.1865611396733758,0.1106402140140977,1.6861964823170381
EWJ,Developed Market Country,Japan,20,0.21023301144005557,0.1262201488330949,1.6656057957755515
COPX,World Thematic,Global Copper Miners,20,0.6104905403071506,0.37112994926028425,1.6449508899078251
SIL,World Thematic,Global Silver Miners,20,0.8132816067757054,0.5142017401763331,1.5816391568352335
EWN,Developed Market Country,Netherlands,20,0.27503534347657244,0.17554477498351245,1.5667532314898256
GDX,World Thematic,Global Gold Miners,20,0.7565888605643091,0.487846194851073,1.5508758058372811
VT,World Broad Index,Vanguard Total World Stock,20,0.17143947120454334,0.11578133943052524,1.4807176359141694
ACWI,World Broad Index,MSCI ACWI (All Country World),20,0.16956068486810616,0.11596070861453801,1.462225325232691
EWD,Developed Market Country,Sweden,20,0.2274953452366644,0.15871186517345096,1.4333858718630914
EWL,Developed Market Country,Switzerland,20,0.18496230954038417,0.1299475223553491,1.423361570793123
URTH,World Broad Index,MSCI World (Developed Markets),20,0.15789140147399244,0.11283450256795564,1.3993184520745403
EXI,Global Sector,Global Industrials,20,0.1922312101203083,0.1408071816142142,1.3652088474221895
MXI,Global Sector,Global Materials,20,0.232565164157678,0.17193576565768487,1.352628193837826
EWG,Developed Market Country,Germany,20,0.193968296779799,0.14890039748989004,1.302671450510862
SOXX,World Thematic,Semiconductors,20,0.5972747720232534,0.4590302969562514,1.3011663412713206
LIT,World Thematic,Lithium & Battery Tech,20,0.3918029237597176,0.3029187992421106,1.2934255805185781
EWQ,Developed Market Country,France,20,0.14605917086974657,0.11686901222225349,1.249768164310153
JXI,Global Sector,Global Utilities,20,0.13490849876806615,0.11290447363479435,1.1948906400684083
IXC,Global Sector,Global Energy,20,0.2547867982444103,0.2206830601189013,1.1545371815450371
IXN,Global Sector,Global Technology,20,0.31259330771566085,0.27564558068084166,1.1340407016269178
MOO,World Thematic,Global Agriculture,20,0.14212906081346827,0.13183693024560822,1.0780671284494119
HACK,World Thematic,Cybersecurity,20,0.2685855753853562,0.2535571378853293,1.0592704178054868
ICLN,World Thematic,Clean Energy,20,0.27490418740130795,0.2606314723800786,1.0547620549847314
EWA,Developed Market Country,Australia,20,0.1340165569730079,0.1408904284757115,0.951211224374347
URA,World Thematic,Uranium & Nuclear,20,0.4681005475202414,0.5188986976373424,0.9021039167213255
KOMP,World Thematic,Next Gen Internet,20,0.18030882811778265,0.2233888811795022,0.8071522054533101
CGW,World Thematic,Global Water Resources,20,0.0855117194472367,0.10609731579230802,0.8059743906681968
IXJ,Global Sector,Global Healthcare,20,0.10169729720502442,0.13609398593681815,0.7472578343927523
ARKK,World Thematic,Disruptive Innovation,20,0.28951435969585937,0.39160738165879394,0.7392975037128185
TAN,World Thematic,Solar Energy,20,0.26495481123683706,0.36532187426503965,0.7252640203105203
REET,Global Sector,Global Real Estate,20,0.08409717612398804,0.11754560977202173,0.7154429356153197
SKYY,World Thematic,Cloud Computing,20,0.20629037171629283,0.3147456912885702,0.6554192080334418
IXP,Global Sector,Global Telecommunications,20,0.10337998930276758,0.1579718959193114,0.6544201340444241
KXI,Global Sector,Global Consumer Staples,20,0.06288183884794124,0.1265577670829283,0.49686273942188997
HERO,World Thematic,Video Games & Esports,20,0.07237530994303515,0.2052513168076129,0.3526180054224661
BOTZ,World Thematic,Robotics & AI,20,0.06589108849769698,0.25002663659039986,0.2635362751595202
IBUY,World Thematic,Global E-commerce,20,0.04592607492824059,0.1744216571544379,0.2633048881514544
RXI,Global Sector,Global Consumer Discretionary,20,0.021250852981890646,0.13746694422171093,0.154588822077958
FINX,World Thematic,Fintech,20,-0.0781900106386321,0.23918783599788565,-0.32689793907129655
